Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00366	485	528	606	638	633	515	674	550	872	698	812	1117
ECB_00367	277	111	250	146	126	119	111	137	160	141	168	252
ECB_00368	339	545	430	618	798	495	680	663	1082	732	974	1054
ECB_00369	257	290	289	429	356	326	384	365	521	381	570	656
ECB_00370	84	88	122	118	124	177	109	129	165	154	241	371
ECB_00371	263	420	273	408	365	229	490	425	532	435	560	532
ECB_00372	350	281	581	571	416	269	506	435	629	368	436	646
ECB_00373	401	226	426	347	267	201	330	368	450	379	424	592
ECB_00374	674	529	751	816	843	589	1188	1005	1300	1028	1201	1428
ECB_00375	73	109	86	129	126	93	110	107	139	117	278	355
ECB_00376	68	203	86	98	20	180	64	42	118	198	76	91
ECB_00377	18	39	14	31	23	15	28	8	44	28	46	63
ECB_00378	19	17	32	25	20	26	22	23	44	62	66	82
ECB_00379	7907	7771	9148	11154	11591	4640	17368	13155	15536	12620	14714	16575
ECB_00380	2431	1851	2576	2972	3307	2062	5607	4470	6378	4974	7017	7574
ECB_00381	3164	2218	3905	3917	4924	3184	7611	6712	9823	7620	11280	11597
ECB_00382	6707	5859	7593	8504	10397	4777	15029	12620	17597	12397	24125	26553
ECB_00383	4102	4569	4163	5420	5830	3447	7744	6995	10304	6834	14802	16037
ECB_00384	162	300	186	392	214	177	247	248	265	226	325	302
ECB_00385	189	271	179	272	187	162	175	249	310	205	395	561
ECB_00386	762	527	590	584	271	252	258	311	459	400	599	996
ECB_00387	5345	5920	5368	7186	8667	5153	11856	10540	13107	10221	14076	16249
ECB_00388	2955	2145	3570	3528	2063	1433	2784	2434	3307	2611	3127	4296
ECB_00389	6429	6011	7649	8792	4537	2642	5654	4851	6122	4418	5239	6795
ECB_00390	17	41	33	28	23	46	21	18	32	33	18	16
ECB_00391	208	164	213	212	135	97	130	146	191	141	154	217
ECB_00392	5553	6135	5481	6454	6007	4913	7294	7034	7757	6702	6388	7374
ECB_00393	1286	1413	1526	1698	1580	1115	1565	1660	2081	1526	2467	2998
ECB_00394	5	6	8	4	12	6	8	19	12	13	21	26
ECB_00395	13	7	11	5	6	0	4	9	16	4	6	20
ECB_00396	231	124	167	139	108	70	146	97	173	129	183	227
ECB_00397	470	35	411	63	28	38	46	46	38	34	51	69
ECB_00398	144	81	104	163	83	42	75	79	89	99	127	143
ECB_00399	101	97	136	125	158	121	130	151	177	173	163	211
ECB_00400	239	397	325	354	274	265	214	267	365	360	412	444
ECB_00401	145	199	173	215	222	166	173	214	226	183	288	353
ECB_00402	242	24	154	86	42	47	62	66	76	113	111	136
ECB_00403	1772	188	907	582	261	237	272	381	570	484	660	662
ECB_00404	140	114	147	145	149	114	145	170	195	208	209	266
ECB_00405	115	149	208	303	177	83	163	160	185	149	177	302
ECB_00406	93	67	113	93	51	68	36	55	72	67	49	72
ECB_00407	35	15	22	24	16	17	28	26	24	14	47	34
ECB_00408	123	129	126	220	171	127	133	105	200	183	198	253
ECB_00409	105	97	104	126	148	122	129	149	236	175	267	355
ECB_00410	222	355	187	268	129	134	230	171	249	219	582	948
ECB_00411	238	288	139	264	153	185	283	227	479	382	1395	1924
ECB_00412	690	499	307	452	288	230	556	408	601	464	1502	2335
ECB_00413	3369	3795	3799	5964	5249	2888	7028	5664	7346	5615	7040	7621
ECB_00414	1043	787	962	1230	1079	765	1182	1153	1517	1071	1995	2520
ECB_00415	42	30	27	35	16	43	28	24	63	49	57	85
ECB_00416	173	243	163	265	801	488	552	617	736	629	860	921
ECB_00417	10	16	14	4	10	13	23	7	15	16	11	14
ECB_00418	64	65	79	83	78	41	80	73	87	66	115	149
ECB_00419	99	217	187	221	201	111	166	208	213	175	172	239
ECB_00420	165	385	144	414	439	272	301	369	429	363	511	506
ECB_00421	925	1099	1543	1616	1553	841	1283	1331	1438	1100	1614	1995
ECB_00422	35	45	84	82	71	38	93	81	75	71	110	179
ECB_00423	1575	1600	2042	2566	1739	1024	2410	1957	2872	1905	2000	2317
ECB_00424	1027	1135	1252	1218	650	404	1412	798	1281	907	1172	1328
ECB_00425	938	1136	769	1190	897	910	1320	1411	1911	1365	2168	2280
ECB_00426	67	114	84	132	121	94	94	138	180	121	158	184
ECB_00427	116	46	129	79	29	39	30	50	44	43	54	90
ECB_00428	120	208	123	247	226	143	231	245	296	227	413	377
ECB_00429	595	819	882	1009	751	552	796	727	937	875	879	1085
ECB_00430	247	262	398	381	130	95	160	131	191	166	151	200
ECB_00431	699	552	700	777	401	417	601	591	815	813	700	861
ECB_00432	183	209	289	262	205	156	268	229	330	209	275	374
ECB_00433	170	176	164	266	196	167	244	173	366	184	391	584
ECB_00434	49	66	73	55	74	54	83	85	92	77	137	246
ECB_00435	1640	796	3268	4333	751	558	3567	980	3619	858	2290	5102
ECB_00436	40	30	27	36	30	21	31	25	45	45	135	216
ECB_00437	24	58	45	57	34	45	45	54	63	36	69	88
ECB_00438	101	72	123	134	60	63	75	64	109	67	99	174
ECB_00439	218	171	253	246	254	151	291	288	303	177	576	765
ECB_00440	144	110	181	178	155	109	217	202	254	199	533	763
ECB_00441	21	26	11	28	31	19	20	27	27	56	74	182
ECB_00442	81	125	90	171	74	68	123	87	176	115	327	420
ECB_00443	290	451	476	514	431	302	502	515	594	459	572	722
ECB_00444	247	276	322	379	314	257	325	347	487	370	443	622
ECB_00445	214	139	215	218	261	205	188	256	286	301	313	495
ECB_00446	136	88	137	160	86	51	125	122	140	93	112	222
ECB_00447	266	315	228	353	245	173	295	234	390	253	315	436
ECB_00448	63	104	58	57	26	125	49	49	84	98	86	112
ECB_00449	1	14	3	10	4	4	6	4	3	10	8	8
ECB_00450	8	12	9	7	6	39	13	25	19	27	19	35
ECB_00451	3	12	13	13	6	9	2	3	6	16	1	7
ECB_00452	14	12	24	26	21	18	21	14	24	20	22	34
