group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
1,5,5.583333333333332,A2,0.976337679,0.063538868,5450,7455.976073999998,8428.407227,0.003,5624.976847999998,17k,L,maj,1874992.2826666662,1830625.6134016847,44366.66926498137,0.976337679,1.0,1830625.6134016847,44366.66926498137
2,5,5.583333333333332,A6,0.00829604,0.138772641,7883,7493.762695,8719.288086,0.003,8442.619106999999,17k,L,min,2814206.3689999995,23346.768605478755,2790859.600394521,0.00829604,1.0,23346.768605478755,2790859.600394521
3,5,5.6000000000000005,A9,0.992601246,0.040303531,6757,7596.58252,8519.487305,0.003,6894.080111,17k,Sl,maj,2298026.703666666,2281024.169400806,17002.53426586058,0.992601246,2.0,2281024.169400806,17002.53426586058
7,5,5.616666666666667,C8,0.912129464,0.041572207,2401,7451.074219,8357.160156,0.003,2451.253218,40k,Sl,maj,817084.406,745286.7612875383,71797.64471246157,0.912129464,4.0,745286.7612875383,71797.64471246157
1,5,5.583333333333332,A1,0.973026691,0.065675282,7542,7469.541504000002,8427.083984,0.003,7792.372165000002,17k,L,maj,2597457.3883333337,2527395.3675834853,70062.02074984816,0.973026691,1.0,2527395.3675834853,70062.02074984816
4,5,5.6000000000000005,A10,0.105071259,0.107785416,3947,7663.30957,8545.785156,0.003,4163.535032,17k,Sl,min,1387845.0106666666,145822.6225676151,1242022.3880990513,0.105071259,2.0,145822.6225676151,1242022.3880990513
8,5,5.616666666666667,C10,0.004699753,0.5622582629999999,5704,7422.819336,8537.84668,0.003,7457.04392,40k,Sl,min,2485681.306666666,11682.088178050586,2473999.218488616,0.004699753,4.0,11682.088178050586,2473999.218488616
5,5,5.683333333333334,C1,0.980235132,0.212845733,7033,7423.387695,8503.21582,0.003,7808.003506,40k,L,maj,2602667.8353333334,2551226.4491201243,51441.38621320907,0.019764868,3.0,51441.38621320907,2551226.4491201243
3,5,5.6000000000000005,A7,0.995013082,0.151035404,8006,7589.597168000001,8483.672852,0.003,8625.808142,17k,Sl,maj,2875269.3806666667,2860930.648037371,14338.732629295313,0.995013082,2.0,2860930.648037371,14338.732629295313
6,5,5.683333333333334,C6,0.04178434200000003,0.046074998,7047,7671.487793000001,8517.427734,0.003,7210.591888,40k,L,min,2403530.629333333,100429.9458235393,2303100.6835097936,0.958215658,3.0,2303100.6835097936,100429.9458235393
8,5,5.616666666666667,C11,0.004466431,0.197592829,5691,7433.402344,8516.932617,0.003,6271.754465,40k,Sl,min,2090584.8216666663,9337.45285562147,2081247.368811045,0.004466431,4.0,9337.45285562147,2081247.368811045
3,5,5.6000000000000005,A8,0.994293998,0.049070159,7184,7542.348633,8510.760742,0.003,7361.701469,17k,Sl,maj,2453900.4896666664,2439898.5285648275,14001.961101839084,0.994293998,2.0,2439898.5285648275,14001.961101839084
7,5,5.616666666666667,C7,0.913023132,0.046813215,2690,7445.772461,8360.542969,0.003,2753.455013,40k,Sl,maj,917818.3376666666,837989.3732634536,79828.96440321303,0.913023132,4.0,837989.3732634536,79828.96440321303
5,6,6.516666666666668,C3,0.9825251209999999,0.13731895,5514,7466.374023,8694.672852,0.002,5901.250182,40k,L,maj,2950625.091,2899063.2745604115,51561.81643958898,0.017474879,3.0,51561.81643958898,2899063.2745604115
4,6,6.533333333333334,A12,0.08001605,0.052698278,5929,7424.477539,8520.279297,0.002,6086.596104,17k,Sl,min,3043298.0519999997,243512.68909373466,2799785.3629062655,0.08001605,2.0,243512.68909373466,2799785.3629062655
6,6,6.516666666666668,C6,0.07287644799999993,0.03615774,4912,7578.619140999999,8624.632813,0.002,5001.338552,40k,L,min,2500669.276,182239.89445761146,2318429.3815423893,0.927123552,3.0,2318429.3815423893,182239.89445761146
7,6,6.550000000000002,C9,0.867158568,0.017237864,2518,7361.914062999998,8387.943359,0.002,2539.764821,40k,Sl,maj,1269882.4105,1101189.4126175682,168692.9978824318,0.867158568,4.0,1101189.4126175682,168692.9978824318
6,6,6.516666666666668,C4,0.07934716900000005,0.029200301,4688,7614.830078,8615.130859,0.002,4756.778605,40k,L,min,2378389.3025,188718.4579332597,2189670.84456674,0.920652831,3.0,2189670.84456674,188718.4579332597
4,6,6.533333333333334,A11,0.08513354599999999,0.036094742,4980,7454.0625,8539.970703,0.002,5070.41657,17k,Sl,min,2535208.285,215831.2711506286,2319377.013849372,0.08513354599999999,2.0,215831.2711506286,2319377.013849372
4,6,6.533333333333334,A10,0.099671157,0.038057865,4685,7465.981445,8545.990234,0.002,4774.7160159999985,17k,Sl,min,2387358.008,237950.7348305752,2149407.2731694244,0.099671157,2.0,237950.7348305752,2149407.2731694244
7,6,6.550000000000002,C7,0.878209701,0.016267137,2299,7341.794922,8387.097656,0.002,2317.74977,40k,Sl,maj,1158874.885,1017735.1662522592,141139.71874774067,0.878209701,4.0,1017735.1662522592,141139.71874774067
6,6,6.516666666666668,C5,0.07580002699999999,0.053201715,5098,7616.043456999999,8610.19043,0.002,5234.8135729999985,40k,L,min,2617406.7864999995,198399.5050866832,2419007.2814133163,0.924199973,3.0,2419007.2814133163,198399.5050866832
1,6,6.5166666666666675,A1,0.979555461,0.056955795,6137,7494.927734000001,8659.845703,0.002,6313.427783,17k,L,maj,3156713.8915,3092176.3312333864,64537.560266613815,0.979555461,1.0,3092176.3312333864,64537.560266613815
5,6,6.516666666666668,C2,0.984487711,0.224148417,5843,7446.364258,8608.865234,0.002,6522.293057,40k,L,maj,3261146.5285,3210558.681078561,50587.84742143873,0.015512289,3.0,50587.84742143873,3210558.681078561
3,6,6.533333333333334,A8,0.992893301,0.103388908,5483,7844.865234000001,8665.415039,0.002,5771.323925,17k,Sl,maj,2885661.9625,2865154.4315167633,20507.53098323693,0.992893301,2.0,2865154.4315167633,20507.53098323693
2,6,6.5166666666666675,A6,0.012423896,0.33263671100000003,5146,7616.750977,8756.564453,0.002,6049.236185,17k,L,min,3024618.0925,37577.54062093838,2987040.5518790614,0.012423896,1.0,37577.54062093838,2987040.5518790614
3,6,6.533333333333334,A9,0.993769931,0.130021776,4969,7801.360352,8642.400391,0.002,5299.037484,17k,Sl,maj,2649518.742,2633012.0574205467,16506.684579453213,0.993769931,2.0,2633012.0574205467,16506.684579453213
5,6,6.516666666666668,C1,0.984995835,0.164436561,6584,7414.64502,8635.332031,0.002,7140.154086,40k,L,maj,3570077.043,3516511.0179841155,53566.02501588409,0.015004165,3.0,53566.02501588409,3516511.0179841155
1,6,6.5166666666666675,A2,0.977756776,0.053841338,5124,7553.896973000001,8663.600586,0.002,5263.179275,17k,L,maj,2631589.6375,2573054.599717009,58535.03778299133,0.977756776,1.0,2573054.599717009,58535.03778299133
1,6,6.5166666666666675,A3,0.981516533,0.077981445,4948,7581.801758,8657.503906,0.002,5143.433282,17k,L,maj,2571716.641,2524182.4013327253,47534.239667274414,0.981516533,1.0,2524182.4013327253,47534.239667274414
7,6,6.550000000000002,C8,0.882469533,0.020716913,2327,7353.689941,8390.287109,0.002,2351.187355,40k,Sl,maj,1175593.6775,1037425.6035811777,138168.07391882245,0.882469533,4.0,1037425.6035811777,138168.07391882245
2,6,6.5166666666666675,A4,0.009179411,0.225210854,4394,7591.67041,8796.635742,0.002,4907.344513,17k,L,min,2453672.2565,22523.266101710924,2431148.990398289,0.009179411,1.0,22523.266101710924,2431148.990398289
